@relation 'selecteddata2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,18'

@attribute ecage26 numeric
@attribute ecsex99 {1,2}
@attribute marst26 {1,2,3,4,5,6}
@attribute mjacg26 {1,2,3,4}
@attribute immst15 {1,2,7}
@attribute pvreg25 {10,11,12,13,24,35,46,47,48,59}
@attribute dwtenr25 {1,2}
@attribute mortg25 {1,2}
@attribute multj28 {1,2}
@attribute alhrp28 numeric
@attribute mtlswk28 numeric
@attribute yrxfte11 numeric
@attribute clwkr1 {1,2,3,4,5,6}
@attribute prmjb1 {1,2,8,9}
@attribute fllprt1 {1,2,9}
@attribute nocg2e6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,99}
@attribute imphwe1 numeric
@attribute uncoll1 {1,2,3}
@attribute n07c3g10 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,99}
@attribute pubpv10 {1,2,9}
@attribute cqpc42 numeric
@attribute rppc42 numeric
@attribute udpd42 numeric
@attribute wgsal42 numeric
@attribute hleveg18 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute penpln1 {1,2}

@data
29,1,6,1,7,10,1,1,2,2086,999,11,1,1,1,6,13.5,3,9,2,900,0,400,21000,6,2
31,1,6,1,7,10,1,1,2,1955,999,8,1,1,1,6,38.4,3,3,1,2400,5750,0,72500,11,1
27,2,6,1,7,10,1,1,2,1590,999,3,1,1,1,2,17.28,3,13,2,1250,0,0,29000,9,1
35,2,1,1,7,35,1,1,2,1955,999,12,1,1,1,10,26.62,1,11,1,2100,8000,1100,90000,12,2
37,1,1,1,7,35,1,1,2,1955,999,14,1,1,1,6,33.28,3,9,2,2200,0,0,70000,11,2
39,1,1,1,7,10,1,1,2,2086,999,22,1,1,1,9,72,3,9,2,2200,0,0,130000,11,1
42,2,1,1,7,10,1,1,2,1962,999,21,1,1,1,2,33.43,3,12,1,2100,4600,350,67500,11,1
25,2,2,1,7,10,1,1,2,1426,999,1,1,1,1,7,34.91,1,12,1,1950,2300,575,40000,11,1
29,1,2,1,7,10,1,1,2,2086,999,8,1,1,1,6,24,3,2,2,1950,0,0,41000,11,1
52,2,1,1,7,10,1,1,2,1564,999,24,1,1,1,13,18.56,3,6,2,1300,1450,0,29000,6,1
47,2,6,1,7,10,1,1,2,1825,999,30,1,1,1,4,19.75,1,11,1,1750,3300,650,40000,10,1
60,2,5,1,7,10,1,2,2,2086,999,41,1,1,1,13,9.6,1,6,2,0,0,0,20000,6,2
50,2,6,1,7,10,2,1,2,1825,999,30,1,1,1,3,23,1,16,1,1800,2700,575,38000,9,1
57,1,6,1,7,10,2,1,2,2086,999,34,1,1,1,17,12,3,10,2,1200,0,0,29000,9,2
63,1,1,1,7,10,1,2,2,2607,999,39,3,9,1,6,999.99,3,9,2,2200,0,0,95000,12,2
64,2,1,1,7,10,1,2,2,2086,999,18,1,1,1,4,25.92,3,9,2,2100,0,0,52500,9,1
50,1,1,1,7,10,1,2,2,2086,999,27,1,1,1,99,120,3,2,2,2100,0,0,260000,12,1
52,2,1,1,7,10,1,2,2,1695,999,30,1,1,1,6,32.49,1,16,1,2100,2600,750,46000,10,1
61,2,1,1,7,10,1,2,2,818,999,35,1,2,1,4,23,1,16,1,0,0,125,17500,11,2
29,2,6,1,7,10,1,2,2,1324,999,19.331132,1,2,1,9,21,3,15,2,925,0,0,21000,12,2
53,2,1,1,7,10,1,2,1,2064,999,28,1,9,1,7,40.96,1,12,1,2300,4000,0,85000,11,1
56,1,1,1,7,10,1,2,2,3129,999,15,1,9,1,20,35.2,1,2,2,2100,0,0,185000,9,2
37,2,6,1,7,10,1,1,2,1825,999,19,1,1,1,99,68.57,3,15,2,2200,0,0,105000,11,1
39,2,2,1,7,10,1,1,2,1929,999,21,1,1,1,4,16.09,3,13,2,1450,0,0,34000,11,2
40,1,6,1,7,10,2,1,1,2222,999,19.331132,1,2,9,99,12.36,1,11,1,1650,0,0,35000,12,2
38,1,6,1,7,10,1,1,2,1961,999,19,1,2,1,11,25.95,1,16,1,2200,3300,0,49000,10,1
29,2,3,1,7,10,2,1,2,786,6,19.331132,1,1,1,17,9.58,3,10,2,125,0,0,7000,7,2
40,2,4,1,7,10,2,1,2,2190,999,17,1,1,1,4,14.5,3,12,2,1350,0,0,31000,9,2
44,1,2,1,7,10,1,1,2,1955,999,19.331132,1,1,1,12,66.56,3,8,2,2200,0,0,130000,9,1
36,1,1,1,7,10,1,1,2,1808,999,17,1,1,1,20,62.78,3,2,2,2100,750,150,155000,9,2
36,2,1,1,7,10,1,1,2,1825,999,14,1,1,1,6,34.56,2,16,1,2300,4700,200,62500,9,1
57,1,2,1,7,10,1,1,2,1989,999,19.331132,1,9,9,99,29.32,3,99,2,2100,0,750,67500,8,2
51,2,2,1,7,10,1,1,1,1734,999,16,1,1,1,17,12.5,3,15,2,600,0,0,16000,9,2
24,2,3,1,7,10,1,2,2,1035,999,2,1,1,1,8,27.16,1,12,1,1250,1850,325,30000,9,1
29,1,3,1,7,10,2,1,2,1955,999,8,1,1,1,99,18.94,2,14,2,1800,0,0,40000,11,1
30,2,1,1,7,10,1,1,2,1825,999,7,1,2,1,9,24.14,2,11,1,2000,3700,0,44000,12,1
